ts_iso,ts_ms,open,high,low,close,volume
2025-10-04T09:04:00Z,1759568640000,122285.4,122573.5,122285.4,122355.5,3.76640406
2025-10-04T09:05:00Z,1759568700000,122355.5,122431.1,122355.5,122421.9,7.17556372
2025-10-04T09:06:00Z,1759568760000,122421.9,122423.0,122302.2,122363.1,2.91734059
2025-10-04T09:07:00Z,1759568820000,122363.3,122411.0,122363.3,122390.1,4.11582101
2025-10-04T09:08:00Z,1759568880000,122390.0,122395.8,122280.1,122371.2,3.57852191
2025-10-04T09:09:00Z,1759568940000,122371.2,122401.6,122371.2,122397.8,2.53750377
2025-10-04T09:10:00Z,1759569000000,122397.8,122426.6,122397.8,122424.8,5.41484223
2025-10-04T09:11:00Z,1759569060000,122424.8,122427.5,122174.1,122380.4,6.13251157
2025-10-04T09:12:00Z,1759569120000,122380.4,122410.0,121999.9,122400.3,6.5311584
2025-10-04T09:13:00Z,1759569180000,122402.1,122420.0,122121.4,122420.0,3.86058319
2025-10-04T09:14:00Z,1759569240000,122420.0,122421.8,122420.0,122421.8,1.26776104
2025-10-04T09:15:00Z,1759569300000,122421.8,122467.6,122421.8,122467.5,4.88980423
2025-10-04T09:16:00Z,1759569360000,122467.5,122670.0,122333.3,122333.3,9.94495383
2025-10-04T09:17:00Z,1759569420000,122437.1,122462.1,122333.3,122427.6,8.40649685
2025-10-04T09:18:00Z,1759569480000,122430.1,122670.0,122285.0,122421.9,14.73054209
2025-10-04T09:19:00Z,1759569540000,122421.8,122421.9,122285.0,122381.0,2.53808025
2025-10-04T09:20:00Z,1759569600000,122382.0,122382.0,122359.5,122362.3,2.49712271
2025-10-04T09:21:00Z,1759569660000,122362.0,122432.4,122361.9,122392.3,2.94845914
2025-10-04T09:22:00Z,1759569720000,122392.5,122397.0,122389.9,122396.0,1.49821914
2025-10-04T09:23:00Z,1759569780000,122396.0,122407.4,122396.0,122407.0,1.19548528
2025-10-04T09:24:00Z,1759569840000,122407.1,122407.6,122406.9,122407.0,1.14824132
2025-10-04T09:25:00Z,1759569900000,122407.0,122666.6,122285.0,122407.4,4.50588277
2025-10-04T09:26:00Z,1759569960000,122407.4,122410.0,122407.4,122407.4,2.34984811
2025-10-04T09:27:00Z,1759570020000,122407.4,122409.0,122285.0,122387.1,2.94869942
2025-10-04T09:28:00Z,1759570080000,122387.1,122400.1,122285.0,122389.2,3.31233446
2025-10-04T09:29:00Z,1759570140000,122389.1,122389.2,122380.4,122381.0,6.79498182
2025-10-04T09:30:00Z,1759570200000,122381.2,122381.3,122285.0,122372.5,7.8373759
2025-10-04T09:31:00Z,1759570260000,122372.5,122373.1,122364.9,122369.1,7.35822945
2025-10-04T09:32:00Z,1759570320000,122369.1,122369.8,122285.0,122368.0,7.61041034
2025-10-04T09:33:00Z,1759570380000,122368.8,122369.3,122285.0,122369.1,3.69902435
2025-10-04T09:34:00Z,1759570440000,122369.1,122666.6,122302.2,122356.2,9.71151354
2025-10-04T09:35:00Z,1759570500000,122356.3,122358.5,122340.5,122340.5,3.4332454
2025-10-04T09:36:00Z,1759570560000,122340.5,122356.3,122335.2,122348.1,2.76519545
2025-10-04T09:37:00Z,1759570620000,122348.0,122348.3,122318.3,122323.9,2.11208408
