ts_iso,ts_ms,open,high,low,close,volume
2025-10-03T13:05:00Z,1759496700000,120214.4,120470.5,119999.9,120252.9,24.9475517
2025-10-03T13:10:00Z,1759497000000,120253.8,120297.6,119999.9,120278.4,73.54738405
2025-10-03T13:15:00Z,1759497300000,120268.0,120511.4,119999.9,120342.0,20.31734423
2025-10-03T13:20:00Z,1759497600000,120344.8,120650.0,120199.7,120450.1,31.82328389
2025-10-03T13:25:00Z,1759497900000,120450.1,120566.6,120225.6,120543.2,23.58754069
2025-10-03T13:30:00Z,1759498200000,120554.0,120707.8,120156.0,120472.0,59.09452026
2025-10-03T13:35:00Z,1759498500000,120472.0,120720.0,119975.0,120453.2,41.28821393
2025-10-03T13:40:00Z,1759498800000,120453.2,120720.0,119975.0,120293.7,51.15462972
2025-10-03T13:45:00Z,1759499100000,120293.7,120538.8,120135.1,120482.0,59.65065276
2025-10-03T13:50:00Z,1759499400000,120482.0,120600.4,120135.1,120410.4,73.76874264
2025-10-03T13:55:00Z,1759499700000,120410.4,120546.8,120135.1,120380.1,66.74925096
2025-10-03T14:00:00Z,1759500000000,120381.4,120601.5,120140.0,120395.0,34.65285998
2025-10-03T14:05:00Z,1759500300000,120397.8,120412.1,120135.1,120233.8,44.84630784
2025-10-03T14:10:00Z,1759500600000,120248.9,120379.9,120000.0,120100.0,22.48538122
2025-10-03T14:15:00Z,1759500900000,120100.0,120360.0,119925.9,119992.2,115.61361521
2025-10-03T14:20:00Z,1759501200000,119983.3,120360.0,119600.0,120284.8,96.66395416
2025-10-03T14:25:00Z,1759501500000,120287.0,120666.6,119975.0,120450.0,141.18002723
2025-10-03T14:30:00Z,1759501800000,120450.0,120488.9,120200.0,120409.1,261.58791991
2025-10-03T14:35:00Z,1759502100000,120409.1,120716.6,120200.0,120685.1,75.48254702
2025-10-03T14:40:00Z,1759502400000,120685.1,120773.3,120360.0,120650.0,187.14934792
2025-10-03T14:45:00Z,1759502700000,120650.0,120950.0,120400.0,120833.3,61.65663831
2025-10-03T14:50:00Z,1759503000000,120840.5,120999.9,120400.0,120945.9,50.31633625
2025-10-03T14:55:00Z,1759503300000,120965.0,120999.9,120546.8,120884.0,19.12076438
2025-10-03T15:00:00Z,1759503600000,120929.1,121130.0,120450.0,120714.0,73.11271672
2025-10-03T15:05:00Z,1759503900000,120714.0,121100.0,120450.0,120772.8,51.66311346
2025-10-03T15:10:00Z,1759504200000,120773.3,120856.6,120538.8,120854.2,12.36732002
2025-10-03T15:15:00Z,1759504500000,120856.6,121776.3,120511.4,121266.1,127.19225302
2025-10-03T15:20:00Z,1759504800000,121266.1,121900.0,121130.0,121396.2,82.7880181
2025-10-03T15:25:00Z,1759505100000,121396.2,121515.0,121130.0,121295.2,71.01111857
2025-10-03T15:30:00Z,1759505400000,121301.0,121900.0,121130.0,121769.2,104.21866421
2025-10-03T15:35:00Z,1759505700000,121775.2,121900.0,121515.0,121749.9,57.99720246
2025-10-03T15:40:00Z,1759506000000,121749.4,121900.0,121515.0,121713.0,44.47896965
2025-10-03T15:45:00Z,1759506300000,121717.3,121947.1,121515.0,121796.0,43.40895109
2025-10-03T15:50:00Z,1759506600000,121794.4,122285.0,121515.0,121900.0,125.18248715
